"LabID","Date","Collar","AnimalID","DeviceID","Sex","Time","Lat","Long","Location","Age","Temp","Eartag1","Eartag2","Type","Comments","Capture Notes","Fate","Cause","CollarType"
140063.00,2/22/2014 0:00:00,151.38,"141380",34952.00,"Male",12/30/1899 14:30:00,46.55,-113.89,"3 Mile WMA",2.00,105.50,2031.00,2032.00,"Darted",,,"Dead","Wounding loss","IridiumTrack M 3D"
140064.00,2/22/2014 0:00:00,151.40,"141400",34953.00,"Male",12/30/1899 16:20:00,46.72,-114.01,"Baldy-Davis",4.00,102.80,2033.00,2034.00,"Darted","Cut collar found in Miller Creek area",,"Dead","Unknown","IridiumTrack M 3D"
140058.00,2/22/2014 0:00:00,151.42,"141420",34954.00,"Male",12/30/1899 12:15:00,46.47,-113.91,"Burnt Fork",3.00,104.60,2018.00,2019.00,"Darted","Early drop","Collar dropped early 05/16/2014, First dart was a miss, second dart used to capture elk.","Unknown",,"IridiumTrack M 3D"
140035.00,2/20/2014 0:00:00,151.47,"141470",34955.00,"Male",12/30/1899 15:16:00,46.43,-113.94,"Burnt Fork",2.50,103.30,2144.00,2145.00,"Hobbled","Collar malfunction",,"Unknown",,"IridiumTrack M 3D"
140007.00,2/25/2014 0:00:00,151.49,"141490",3529.00,"Female",12/30/1899 11:51:00,46.74,-114.02,"S. Miller Creek",,103.30,2005.00,2004.00,"Darted",,,"Alive - OffAir",,"3300L"
140005.00,2/24/2014 0:00:00,151.50,"141500",34956.00,"Male",12/30/1899 12:00:00,46.73,-113.97,"Davis Creek",7.00,104.30,2058.00,1636.00,"Darted",,"6x8","Dead","Harvest","IridiumTrack M 3D"
140056.00,2/22/2014 0:00:00,151.52,"141520",34957.00,"Male",12/30/1899 15:30:00,46.58,-113.90,"3 Mile WMA",9.00,102.30,2063.00,2064.00,"Darted",,"6x7","Dead","Harvest","IridiumTrack M 3D"
140031.00,2/21/2014 0:00:00,151.56,"141560",34958.00,"Male",12/30/1899 12:53:00,46.72,-114.03,"Sapphire Ranch, S. Davis Crk",3.00,102.20,2136.00,2137.00,"Darted",,,"Alive - OffAir",,"IridiumTrack M 3D"
140071.00,2/24/2014 0:00:00,151.57,"141570",34959.00,"Male",12/30/1899 13:01:00,46.80,-114.02,"Miller Creek",2.00,103.50,1632.00,1633.00,"Darted",,"Darted, no effect, then netted","Dead","Harvest","IridiumTrack M 3D"
140002.00,2/24/2014 0:00:00,151.58,"141580",34960.00,"Male",12/30/1899 11:32:00,46.72,-114.02,"Sapphire Ranch, S. Davis Crk",2.00,102.10,1629.00,1504.00,"Darted",,"3x3, 2 Missed darts","Dead","Harvest","IridiumTrack M 3D"
140020.00,2/22/2014 0:00:00,151.61,"141610",34961.00,"Male",12/30/1899 11:00:00,46.42,-113.93,"Burnt Fork",6.00,101.00,2090.00,2091.00,"Darted ",,,"Dead","Wounding loss","IridiumTrack M 3D"
140042.00,2/25/2014 0:00:00,151.63,"141630",34962.00,"Male",12/30/1899 9:00:00,46.79,-113.99,"Miller Creek",8.00,101.40,1709.00,1710.00,"Darted","Collar malfunction","6x6","Unknown",,"IridiumTrack M 3D"
140060.00,2/24/2014 0:00:00,152.09,"142090",2496.00,"Female",12/30/1899 10:11:00,46.66,-113.98,"N. Woodchuck",4.00,102.10,2022.00,2023.00,"Darted","No drop; later collar malfunction",,"Alive - OffAir",,"3300L"
15111.00,1/23/2015 0:00:00,150.36,"150360",34913.00,"Female",12/30/1899 16:54:00,46.68,-113.98,"N Woodchuck Creek",3.00,102.70,790.00,791.00,"Darted","No drop",,"Alive - OnAir",,"IridiumTrack M 3D"
15115.00,1/23/2015 0:00:00,150.92,"150920",34926.00,"Female",,46.51,-113.99,"Iron Cap",3.00,103.80,701.00,800.00,"Darted","No drop",,"Alive - OnAir",,"IridiumTrack M 3D"
15107.00,1/23/2015 0:00:00,151.11,"151110",34937.00,"Female",,46.52,-113.92,"Ambrose Creek",3.00,105.40,1787.00,1788.00,"Darted","Illegal harvest",,"Dead","Harvest","IridiumTrack M 3D"
15102.00,1/23/2015 0:00:00,151.17,"151170",34943.00,"Male",,46.74,-114.00,"Davis Creek",3.00,101.00,1797.00,1798.00,"Darted","Illegal harvest",,"Dead","Harvest","IridiumTrack M 3D"
15108.00,1/23/2015 0:00:00,151.20,"151200",34945.00,"Male",,46.71,-114.03,"MPG Ranch",2.00,103.70,,,"Darted","No drop","No Ear Tags in Kit","Alive - OnAir",,"IridiumTrack M 3D"
15110.00,1/23/2015 0:00:00,151.22,"151220",34947.00,"Male",12/30/1899 13:30:00,46.45,-113.89,"Haacke Creek",4.00,101.00,788.00,789.00,"Darted","Collar malfunction",,"Unknown",,"IridiumTrack M 3D"
15106.00,1/23/2015 0:00:00,151.30,"151300",34950.00,"Male",12/30/1899 10:45:00,46.70,-114.00,"MPG Ranch",3.00,102.10,1789.00,1790.00,"Darted","Early drop before harvest",,"Dead","Harvest","IridiumTrack M 3D"
15114.00,1/23/2015 0:00:00,151.38,"151380",34952.00,"Male",,46.45,-113.88,"Haacke Creek",4.50,101.20,794.00,795.00,"Darted","Collar malfunction",,"Unknown",,"IridiumTrack M 3D"
15103.00,1/23/2015 0:00:00,151.50,"151500",34956.00,"Male",,46.60,-113.91,"Threemile Creek",3.00,104.10,1795.00,1796.00,"Darted","Collar malfunction before harvest",,"Dead","Harvest","IridiumTrack M 3D"
15104.00,1/23/2015 0:00:00,151.57,"151570",34959.00,"Male",,46.74,-113.97,"Davis Creek",3.00,101.70,1793.00,1794.00,"Darted","No drop; later collar malfunction",,"Alive - OffAir",,"IridiumTrack M 3D"
15113.00,1/23/2015 0:00:00,151.58,"151580",34960.00,"Male",12/30/1899 14:00:00,46.45,-113.86,"Haacke Creek",5.00,105.00,780.00,781.00,"Darted","Collar malfunction",,"Unknown",,"IridiumTrack M 3D"
